marca,id,name,img_url,family_unificada,family_original
bershka,226931692,Cazadora parka bolsillos cuello funnel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931692.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931278,Cazadora bordada ED HARDY X BERSHKA,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931278.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927291,Trench largo cuadros pañuelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927291.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927270,Cazadora oversize efecto piel cuello cruzado,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927270.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927193,Abrigo largo cuello funnel cinturón,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927193.jpg,Chaquetas y Cazadoras,cazadora
bershka,228633797,Chaqueta cuello perkins contraste,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/228633797.jpg,Sudaderas,sudaderas
bershka,226927125,Abrigo largo soft cinturón,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927125.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927093,Trench corto pliegues,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927093.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926983,Cazadora ligera bordados,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926983.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926821,Cazadora acolchada oversize capucha,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926821.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926796,Cazadora denim cropped brillo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926796.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926606,Cazadora ligera contraste,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926606.jpg,Chaquetas y Cazadoras,cazadora
bershka,234769968,Pantalón bombacho efecto piel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/234769968.jpg,Pantalones,pantalones
bershka,228633807,Pantalón barrel pinzas tejido scuba,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/228633807.jpg,Pantalones,pantalones
bershka,226931569,Pantalón felpa jogger dancer,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931569.jpg,Pantalones,pantalones
bershka,229499432,Pantalón straight print,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229499432.jpg,Pantalones,pantalones
bershka,227381997,Pantalón bloomer cuadros,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227381997.jpg,Pantalones,pantalones
bershka,227954364,Pantalón técnico banda lateral,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227954364.jpg,Pantalones,pantalones
bershka,228309060,Pantalón jogger felpa gráfico,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/228309060.jpg,Pantalones,pantalones
bershka,227382007,Pantalón pliegues laterales,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227382007.jpg,Pantalones,pantalones
bershka,230006369,Pantalón bombacho cintura fruncida,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/230006369.jpg,Pantalones,pantalones
bershka,227229916,Pantalón pinzas doble,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227229916.jpg,Pantalones,pantalones
bershka,226927290,Pantalón barrel hebilla trasera,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927290.jpg,Pantalones,pantalones
bershka,226926660,Pantalón felpa banda lateral,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926660.jpg,Pantalones,pantalones
